measured_at,total_consumption_kwh,prediction_kwh,residual_kwh,model
2025-10-21 09:00:00,99.4821,102.6476272470238,-3.165527247023803,Random_Forest
2025-10-21 10:00:00,108.3437,102.22040278141532,6.123297218584682,Random_Forest
2025-10-21 11:00:00,98.2398,103.2962858806217,-5.056485880621693,Random_Forest
2025-10-21 12:00:00,96.6325,102.36300553339946,-5.730505533399466,Random_Forest
2025-10-21 13:00:00,107.3973,101.80885927380953,5.58844072619047,Random_Forest
2025-10-21 14:00:00,101.373,104.40713813955021,-3.0341381395502083,Random_Forest
2025-10-21 15:00:00,106.7062,101.30331831779102,5.402881682208971,Random_Forest
2025-10-21 16:00:00,100.0151,99.78255043154766,0.23254956845234176,Random_Forest
2025-10-21 17:00:00,111.0192,103.50384078273811,7.515359217261889,Random_Forest
2025-10-21 18:00:00,80.0851,82.76149634523807,-2.676396345238075,Random_Forest
2025-10-21 19:00:00,87.9134,83.69252275595241,4.2208772440475855,Random_Forest
2025-10-21 20:00:00,78.8068,85.21647379861108,-6.409673798611081,Random_Forest
2025-10-21 21:00:00,81.3851,83.14951521473662,-1.7644152147366299,Random_Forest
2025-10-21 22:00:00,69.1423,71.89810669642856,-2.75580669642855,Random_Forest
2025-10-21 23:00:00,70.5987,71.34996647718252,-0.7512664771825257,Random_Forest
2025-10-22 00:00:00,57.0471,53.220755898809514,3.826344101190486,Random_Forest
2025-10-22 01:00:00,57.2402,52.37075893419313,4.869441065806875,Random_Forest
2025-10-22 02:00:00,55.1625,54.954549586640184,0.2079504133598178,Random_Forest
2025-10-22 03:00:00,52.4947,54.209736637235444,-1.7150366372354426,Random_Forest
2025-10-22 04:00:00,51.2633,53.27477717806036,-2.0114771780603604,Random_Forest
2025-10-22 05:00:00,55.9007,53.444447242063504,2.4562527579364968,Random_Forest
2025-10-22 06:00:00,75.3138,70.07175091534391,5.242049084656088,Random_Forest
2025-10-22 07:00:00,68.8178,70.44504794312166,-1.6272479431216595,Random_Forest
2025-10-22 08:00:00,107.309,101.88487851388889,5.424121486111105,Random_Forest
2025-10-22 09:00:00,106.2587,103.43082852480165,2.82787147519835,Random_Forest
2025-10-22 10:00:00,99.0933,100.58540039550266,-1.4921003955026606,Random_Forest
2025-10-22 11:00:00,100.1666,103.39719628571434,-3.2305962857143413,Random_Forest
2025-10-22 12:00:00,111.4771,102.71712993749999,8.759970062500003,Random_Forest
