measured_at,total_consumption_kwh,temperature_c,irradiation_w_m2,area_m2,installed_power_kw,solar_capacity_kw,battery_capacity_kwh,hour,day_of_week,month,day_of_year,is_weekend,is_working_hour,tariff_zone,tariff_zone_code,hdd_18,cdd_22,hour_sin,hour_cos,month_sin,month_cos,lag_1h,lag_24h,lag_168h,rolling_24h_mean,rolling_24h_std,kwh_per_m2,object_name
2025-01-08 00:00:00,55.2897,-7.14,0.0,5200.0,350.0,140.0,110.0,0,2,1,8,0,0,night,0,25.14,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,75.7958,57.1884,53.2849,84.32892083333333,21.385116954636022,0.010632634615384617,University
2025-01-08 01:00:00,50.8594,-10.07,0.0,5200.0,350.0,140.0,110.0,1,2,1,8,0,0,night,0,28.07,0.0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,55.2897,59.0294,53.0255,84.24980833333333,21.493125786145182,0.009780653846153847,University
2025-01-08 02:00:00,55.1973,-9.33,0.0,5200.0,350.0,140.0,110.0,2,2,1,8,0,0,night,0,27.33,0.0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,50.8594,53.5035,58.0339,83.90939166666666,21.969367663574655,0.010614865384615384,University
2025-01-08 03:00:00,57.251200000000004,-8.12,0.0,5200.0,350.0,140.0,110.0,3,2,1,8,0,0,night,0,26.119999999999997,0.0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,55.1973,56.2547,57.772,83.97996666666667,21.869939739935425,0.011009846153846155,University
2025-01-08 04:00:00,54.6871,-6.88,3.7,5200.0,350.0,140.0,110.0,4,2,1,8,0,0,night,0,24.88,0.0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,57.251200000000004,54.9405,59.811,84.02148749999999,21.81589294779927,0.01051675,University
2025-01-08 05:00:00,55.0075,-6.89,11.99,5200.0,350.0,140.0,110.0,5,2,1,8,0,0,night,0,24.89,0.0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,54.6871,56.9991,56.3891,84.01092916666667,21.830635671668226,0.010578365384615384,University
2025-01-08 06:00:00,75.125,-4.54,0.0,5200.0,350.0,140.0,110.0,6,2,1,8,0,0,night,0,22.54,0.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,55.0075,74.96379999999999,76.1957,83.92794583333334,21.941283063588248,0.014447115384615385,University
2025-01-08 07:00:00,74.5481,-6.85,5.74,5200.0,350.0,140.0,110.0,7,2,1,8,0,0,half_peak,1,24.85,0.0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,75.125,69.1035,71.8238,83.9346625,21.938444139530866,0.014336173076923078,University
2025-01-08 08:00:00,105.4782,-4.7,44.77,5200.0,350.0,140.0,110.0,8,2,1,8,0,1,peak,2,22.7,0.0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,74.5481,100.8627,109.7253,84.16152083333334,21.806163509070792,0.02028426923076923,University
2025-01-08 09:00:00,105.9423,-4.75,70.6,5200.0,350.0,140.0,110.0,9,2,1,8,0,1,peak,2,22.75,0.0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,105.4782,113.9206,108.2156,84.35383333333333,21.97952154346657,0.02037351923076923,University
